product_id,winsorize,features,metrics,method,validation_predictions,model_order,seasonal_order
P14,False,"['PRO27392_org', 'PRO28380_org', 'PRO27756_org']","{'RMSE': 11245.694692846775, 'MAPE': 162.58643573194217, 'Overfit Score': -0.24369158170789224}",manual,"[11135.988460387549, 12682.516290712987, 8169.538039048897, -2896.8255823791296, 11802.166844345555, 27518.698562275098, 13029.052690517416]","(0, 0, 0)","(1, 0, 0, 6)"
P6,False,"['PRO27840_org', 'RohCRUDE_PETRO1000_org']","{'RMSE': 178899.41844506835, 'MAPE': 68.4155463664634, 'Overfit Score': -0.7266734239985821}",auto,"[428693.3380159562, 483368.318929538, 477736.9178571362, 456251.4749658159, 448567.5361899223, 395295.75439744495, 403041.04177271127]","(1, 0, 0)","(0, 0, 0, 0)"
Sales_CPI,True,['PRO271000_org'],"{'RMSE': 3750154.7172632, 'MAPE': 4.853535976026102, 'Overfit Score': -0.6473794201837645}",auto,"[68960218.92997162, 70889560.33413762, 65625301.52934747, 60629730.66388548, 63176163.61487176, 75615145.02172232, 66880941.82410244]","(1, 0, 0)","(0, 0, 0, 0)"
P9,True,"['PRO27826_org', 'PRO271000_org', 'PRO28250_org', 'MAB_ELE_PRO156']","{'RMSE': 5487.0260136244115, 'MAPE': 288.75177666412395, 'Overfit Score': -0.1833337397477889}",auto,"[-7982.553740627755, 14086.523456170122, 10836.895976436304, 9600.572456750997, 6824.962897912029, 771.1922367028274, 4633.506676149664]","(0, 0, 0)","(0, 0, 1, 12)"
P13,True,['PRO27756_org'],"{'RMSE': 10352.7443579788, 'MAPE': 44.00311838190687, 'Overfit Score': -0.29993994769170734}",auto,"[19148.300915720232, 20506.62509080371, 18745.214720266165, 29177.921444896067, 19207.916588993452, 12078.278288250569, 21889.56800245082]","(0, 0, 1)","(1, 0, 1, 17)"
P8,True,['PRI27840_org'],"{'RMSE': 394832.8009460759, 'MAPE': 41.52599907813991, 'Overfit Score': -0.7190216040890505}",auto,"[1113687.5205135816, 1433786.2385283676, 1495660.2884308656, 1412575.7896978762, 1459130.0065146103, 1462663.9593734234, 1458762.4463871666]","(1, 0, 2)","(0, 0, 0, 0)"
P1,True,"['PRI27276_org', 'PRO27826_org', 'MAB_ELE_PRO276', 'MAB_ELE_SHP1100']","{'RMSE': 2077977.612825405, 'MAPE': 4.227376838476339, 'Overfit Score': -0.9453438606544243}",auto,"[37977188.704214275, 38483741.3333693, 37719091.00909304, 40042433.27575184, 39568377.52993948, 42632379.32668514, 41329339.74712107]","(1, 0, 0)","(0, 0, 0, 0)"
P36,True,"['MAB_ELE_PRO756', 'PRO27756_org', 'MAB_ELE_PRO156']","{'RMSE': 69003.60096421925, 'MAPE': 175.82018046172604, 'Overfit Score': 1.3744824022468543}",auto,"[2583.578816344292, 463.92296988989983, 2984.2062153989245, -6091.9074021499255, 207090.1178520184, 7899.1181615163805, 13906.81357151967]","(0, 0, 1)","(0, 1, 0, 10)"
P11,True,['MAB_ELE_SHP392'],"{'RMSE': 780316.8903742505, 'MAPE': 123.40787209958388, 'Overfit Score': -0.21176033767825542}",auto,"[1372267.5795608668, 1261113.9912262948, 1553388.341350485, 915336.6391365903, 1808654.934678439, 1969498.918705544, 1397015.8260625612]","(0, 0, 0)","(1, 0, 0, 12)"
P5,False,"['PRO27826_org', 'PRO271000_org', 'MAB_ELE_PRO156']","{'RMSE': 2152211.6709873076, 'MAPE': 16.227912809495745, 'Overfit Score': -0.544283361789361}",auto,"[8137806.390712488, 10153645.276073594, 12256624.999542143, 8960380.484761002, 8456773.13001926, 14256122.837588817, 7676015.390467652]","(0, 0, 0)","(0, 0, 0, 6)"
P20,True,['PRO27250_org'],"{'RMSE': 2047.9235523085201, 'MAPE': 1.1680818612647623e+20, 'Overfit Score': -0.2172845704643345}",auto,"[1207.095188185624, 1554.2276353359425, 1881.2969922553486, 1815.5639278324059, 1840.0845990191046, 2252.6245601076903, 2424.007468532132]","(2, 0, 2)","(0, 0, 0, 13)"
P16,True,[],"{'RMSE': 94194.84684191449, 'MAPE': 93.35153988556398, 'Overfit Score': -0.8594423194251786}",auto,"[207693.8549362526, 207724.74045757198, 207748.9622727015, 207767.67322451904, 207782.5700387276, 207794.38211294138, 207790.47479161114]","(1, 1, 0)","(0, 0, 0, 0)"
P12,True,['MAB_ELE_PRO156'],"{'RMSE': 100594.68937150536, 'MAPE': 36.85095973251626, 'Overfit Score': -0.05418050110396899}",auto,"[314843.5636303, 300010.95242346457, 370980.1662942702, 309976.6114638535, 312872.75671531336, 354239.87173769873, 324608.5878412157]","(2, 1, 0)","(0, 0, 0, 0)"
P4,False,"['PRO27380_org', 'WKLWEUR840_org', 'PRO27276_org', 'MAB_ELE_SHP380']","{'RMSE': 66180.87003832763, 'MAPE': 18.74964437679339, 'Overfit Score': -0.5615398884280176}",manual,"[420043.28186240635, 352001.44680957147, 232951.297086936, 345610.28121271357, 400965.6475631528, 407969.5838586218, 360490.5655133407]","(0, 0, 0)","(1, 0, 0, 6)"
P3,True,['PRI27840_org'],"{'RMSE': 2177873.1619630917, 'MAPE': 12.310460611752243, 'Overfit Score': -0.30886100411666545}",auto,"[11608659.752610944, 16343049.890014445, 11694886.365243139, 10491437.468841026, 16747728.924084775, 16628607.866116883, 15632537.90013069]","(1, 0, 1)","(0, 1, 1, 12)"
