product_id,winsorize,features,RMSE,MAPE,Overfit_Score,method
P1,True,MAB_ELE_SHP840,2621239.773896739,0.05508265271117964,,walkforward
P1,True,PRI27276_org,2882642.3572737724,0.06746308062073055,,walkforward
P1,True,PRO27826_org,2810467.0803067936,0.06462415996248765,,walkforward
P1,True,MAB_ELE_PRO276,2814579.7184314425,0.065593646745862,,walkforward
P1,True,MAB_ELE_SHP1100,2824508.2004621844,0.06590390524016394,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org",3557981.9286641995,0.0696418392609009,,walkforward
P1,True,"MAB_ELE_SHP840, PRO27826_org",2641792.9915411007,0.05499383851028361,,walkforward
P1,True,"MAB_ELE_SHP840, MAB_ELE_PRO276",2691399.0255664117,0.0582511373576009,,walkforward
P1,True,"MAB_ELE_SHP840, MAB_ELE_SHP1100",2435149.81355569,0.053110180426116475,,walkforward
P1,True,"PRI27276_org, PRO27826_org",3046683.9799641776,0.0699931565170515,,walkforward
P1,True,"PRI27276_org, MAB_ELE_PRO276",2969625.1660652184,0.06983988143157213,,walkforward
P1,True,"PRI27276_org, MAB_ELE_SHP1100",3024776.109171169,0.07113506297325316,,walkforward
P1,True,"PRO27826_org, MAB_ELE_PRO276",2742929.879783243,0.058608609270433494,,walkforward
P1,True,"PRO27826_org, MAB_ELE_SHP1100",2889498.6666026227,0.06496237896198898,,walkforward
P1,True,"MAB_ELE_PRO276, MAB_ELE_SHP1100",2701567.1598050077,0.06227824130223851,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org",3563804.604424281,0.0694478858892654,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org, MAB_ELE_PRO276",3453713.875150775,0.0667588240549702,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org, MAB_ELE_SHP1100",3505827.9226464224,0.06565842119159877,,walkforward
P1,True,"MAB_ELE_SHP840, PRO27826_org, MAB_ELE_PRO276",2488379.5365463803,0.05280294723131389,,walkforward
P1,True,"MAB_ELE_SHP840, PRO27826_org, MAB_ELE_SHP1100",2164903.698579999,0.04772838063403607,,walkforward
P1,True,"MAB_ELE_SHP840, MAB_ELE_PRO276, MAB_ELE_SHP1100",2728950.200160183,0.05921158516502508,,walkforward
P1,True,"PRI27276_org, PRO27826_org, MAB_ELE_PRO276",2538617.362493787,0.04995914907432374,,walkforward
P1,True,"PRI27276_org, PRO27826_org, MAB_ELE_SHP1100",2700882.821798388,0.05953290106976789,,walkforward
P1,True,"PRI27276_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",2996934.1021476076,0.06906275339928683,,walkforward
P1,True,"PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",2500379.8767855964,0.051846271339384686,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org, MAB_ELE_PRO276",3222847.346876728,0.0635859083203303,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org, MAB_ELE_SHP1100",3296930.143461134,0.06012378571482681,,walkforward
P1,True,"MAB_ELE_SHP840, PRI27276_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",3492147.0429138606,0.06753396508746819,,walkforward
P1,True,"MAB_ELE_SHP840, PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",2567623.231164986,0.05428681809325499,,walkforward
P1,True,"PRI27276_org, PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",2583188.0535994438,0.051913165788362504,,walkforward
